captured_at	value
2021-12-19T00:46:22.000Z	3900
2021-12-19T00:46:27.000Z	3900
2021-12-19T00:46:32.000Z	4300
2021-12-19T00:46:36.000Z	4400
2021-12-19T00:46:42.000Z	4200
2021-12-19T00:46:47.000Z	4100
2021-12-19T00:46:52.000Z	4000
2021-12-19T00:46:57.000Z	4500
2021-12-19T00:47:02.000Z	4600
2021-12-19T00:47:06.000Z	4600
2021-12-19T00:47:12.000Z	4500
2021-12-19T00:47:17.000Z	4300
2021-12-19T00:47:22.000Z	4400
2021-12-19T00:47:27.000Z	4100
2021-12-19T00:47:32.000Z	3900
2021-12-19T00:47:36.000Z	4000
2021-12-19T00:47:42.000Z	4300
2021-12-19T00:47:47.000Z	4500
2021-12-19T00:47:52.000Z	4700
2021-12-19T00:47:57.000Z	4400
2021-12-19T00:48:02.000Z	4200
2021-12-19T00:48:06.000Z	4600
2021-12-19T00:48:12.000Z	4700
2021-12-19T00:48:17.000Z	4400
2021-12-19T00:48:22.000Z	4500
2021-12-19T00:48:27.000Z	4600
2021-12-19T00:48:32.000Z	4800
2021-12-19T00:48:36.000Z	4700
2021-12-19T00:48:42.000Z	4400
2021-12-19T00:48:47.000Z	4500
2021-12-19T00:48:52.000Z	4600
2021-12-19T00:48:57.000Z	4700
2021-12-19T00:49:02.000Z	5400
2021-12-19T00:49:06.000Z	5200
2021-12-19T00:49:12.000Z	4800
2021-12-19T00:49:17.000Z	5000
2021-12-19T00:49:22.000Z	5600
2021-12-19T00:49:27.000Z	5700
2021-12-19T00:49:32.000Z	5300
2021-12-19T00:49:36.000Z	5400
2021-12-19T00:49:42.000Z	5200
2021-12-19T00:49:48.000Z	5000
2021-12-19T00:49:53.000Z	4600
2021-12-19T00:49:58.000Z	4200
2021-12-19T00:50:03.000Z	3400
2021-12-19T00:50:08.000Z	3300
2021-12-19T00:50:12.000Z	3500
2021-12-19T00:50:18.000Z	3600
2021-12-19T00:50:23.000Z	2800
2021-12-19T00:50:28.000Z	2800
2021-12-19T00:50:33.000Z	3000
2021-12-19T00:50:38.000Z	2800
2021-12-19T00:50:42.000Z	2800
2021-12-19T00:50:48.000Z	2900
2021-12-19T00:50:53.000Z	3000
2021-12-19T00:50:58.000Z	3000
2021-12-19T00:51:03.000Z	3200
2021-12-19T00:51:08.000Z	3500
2021-12-19T00:51:12.000Z	3600
2021-12-19T00:51:18.000Z	3800
2021-12-19T00:51:23.000Z	4100
2021-12-19T00:51:28.000Z	3700
2021-12-19T00:51:33.000Z	4400
2021-12-19T00:51:38.000Z	4200
2021-12-19T00:51:43.000Z	4300
2021-12-19T00:51:48.000Z	4700
2021-12-19T00:51:53.000Z	4900
2021-12-19T00:51:58.000Z	4900
2021-12-19T00:52:03.000Z	5200
2021-12-19T00:52:08.000Z	4800
2021-12-19T00:52:13.000Z	4700
2021-12-19T00:52:18.000Z	4200
2021-12-19T00:52:23.000Z	4000
2021-12-19T00:52:28.000Z	4300
2021-12-19T00:52:34.000Z	3900
2021-12-19T00:52:39.000Z	4000
2021-12-19T00:52:43.000Z	4200
2021-12-19T00:52:48.000Z	3600
2021-12-19T00:52:53.000Z	3300
2021-12-19T00:52:58.000Z	4000
2021-12-19T00:53:04.000Z	3800
2021-12-19T00:53:08.000Z	4000
2021-12-19T00:53:13.000Z	3700
2021-12-19T00:53:18.000Z	3700
2021-12-19T00:53:23.000Z	3700
2021-12-19T00:53:29.000Z	3700
2021-12-19T00:53:34.000Z	3200
2021-12-19T00:53:39.000Z	3200
2021-12-19T00:53:44.000Z	3100
2021-12-19T00:53:49.000Z	2900
2021-12-19T00:53:54.000Z	3500
2021-12-19T00:53:59.000Z	3000
2021-12-19T00:54:04.000Z	2800
2021-12-19T00:54:09.000Z	2700
2021-12-19T00:54:14.000Z	2900
2021-12-19T00:54:19.000Z	3200
2021-12-19T00:54:24.000Z	3200
2021-12-19T00:54:29.000Z	3100
2021-12-19T00:54:34.000Z	3100
2021-12-19T00:54:39.000Z	3000
2021-12-19T00:54:44.000Z	3200
2021-12-19T00:54:49.000Z	3300
2021-12-19T00:54:54.000Z	2900
2021-12-19T00:54:59.000Z	2900
2021-12-19T00:55:04.000Z	3600
2021-12-19T00:55:09.000Z	3500
2021-12-19T00:55:14.000Z	3600
2021-12-19T00:55:19.000Z	3400
2021-12-19T00:55:24.000Z	3400
2021-12-19T00:55:29.000Z	3300
2021-12-19T00:55:34.000Z	3600
2021-12-19T00:55:39.000Z	3800
2021-12-19T00:55:44.000Z	3300
2021-12-19T00:55:49.000Z	3500
2021-12-19T00:55:54.000Z	3200
2021-12-19T00:55:59.000Z	3100
2021-12-19T00:56:04.000Z	2500
2021-12-19T00:56:09.000Z	2600
2021-12-19T00:56:14.000Z	2500
2021-12-19T00:56:19.000Z	2900
2021-12-19T00:56:24.000Z	2800
2021-12-19T00:56:29.000Z	3000
2021-12-19T00:56:34.000Z	2800
2021-12-19T00:56:39.000Z	2900
2021-12-19T00:56:44.000Z	3100
2021-12-19T00:56:49.000Z	3100
2021-12-19T00:56:54.000Z	3200
2021-12-19T00:56:59.000Z	3500
2021-12-19T00:57:04.000Z	3800
2021-12-19T00:57:09.000Z	4300
2021-12-19T00:57:14.000Z	4200
2021-12-19T00:57:19.000Z	3800
2021-12-19T00:57:24.000Z	3900
2021-12-19T00:57:29.000Z	4000
2021-12-19T00:57:34.000Z	4000
2021-12-19T00:57:40.000Z	3700
2021-12-19T00:57:45.000Z	3700
2021-12-19T00:57:50.000Z	3500
2021-12-19T00:57:55.000Z	3600
2021-12-19T00:58:00.000Z	3400
2021-12-19T00:58:05.000Z	3100
2021-12-19T00:58:10.000Z	2600
2021-12-19T00:58:15.000Z	3200
2021-12-19T00:58:20.000Z	3400
2021-12-19T00:58:25.000Z	3300
2021-12-19T00:58:30.000Z	3100
2021-12-19T00:58:35.000Z	3100
2021-12-19T00:58:40.000Z	3000
2021-12-19T00:58:45.000Z	2900
2021-12-19T00:58:50.000Z	3000
2021-12-19T00:58:55.000Z	3000
2021-12-19T00:59:00.000Z	2800
2021-12-19T00:59:05.000Z	3000
2021-12-19T00:59:10.000Z	3000
2021-12-19T00:59:15.000Z	2400
2021-12-19T00:59:20.000Z	2200
2021-12-19T00:59:25.000Z	2500
2021-12-19T00:59:30.000Z	2600
2021-12-19T00:59:35.000Z	2800
2021-12-19T00:59:40.000Z	3100
2021-12-19T00:59:45.000Z	3900
2021-12-19T00:59:50.000Z	4000
2021-12-19T00:59:55.000Z	3900
2021-12-19T01:00:00.000Z	3800
2021-12-19T01:00:05.000Z	3500
2021-12-19T01:00:10.000Z	3700
2021-12-19T01:00:15.000Z	3900
2021-12-19T01:00:20.000Z	3800
2021-12-19T01:00:25.000Z	3700
2021-12-19T01:00:30.000Z	3600
2021-12-19T01:00:35.000Z	3500
2021-12-19T01:00:40.000Z	3400
2021-12-19T01:00:45.000Z	2700
2021-12-19T01:00:50.000Z	2700
2021-12-19T01:00:55.000Z	2900
2021-12-19T01:01:00.000Z	3300
2021-12-19T01:01:05.000Z	3500
2021-12-19T01:01:10.000Z	3400
2021-12-19T01:01:15.000Z	3500
2021-12-19T01:01:20.000Z	4000
2021-12-19T01:01:25.000Z	4100
2021-12-19T01:01:30.000Z	4000
2021-12-19T01:01:35.000Z	4200
2021-12-19T01:01:40.000Z	4300
2021-12-19T01:01:45.000Z	4400
2021-12-19T01:01:50.000Z	4800
2021-12-19T01:01:55.000Z	4700
2021-12-19T01:02:00.000Z	4800
2021-12-19T01:02:05.000Z	4600
2021-12-19T01:02:11.000Z	4700
2021-12-19T01:02:16.000Z	4500
2021-12-19T01:02:21.000Z	3900
2021-12-19T01:02:26.000Z	3500
2021-12-19T01:02:31.000Z	3400
2021-12-19T01:02:36.000Z	3300
2021-12-19T01:02:41.000Z	3400
2021-12-19T01:02:46.000Z	3400
2021-12-19T01:02:51.000Z	2900
2021-12-19T01:02:56.000Z	2700
2021-12-19T01:03:01.000Z	2400
2021-12-19T01:03:06.000Z	2500
