,sunlight,temperature,precipitation,weather
2024/08/01 7:00,0,23.5,0,4
2024/08/01 8:00,0.2,24.2,0,4
2024/08/01 9:00,0,25.5,0,4
2024/08/01 10:00,0.5,27.6,0,4
2024/08/01 11:00,0.6,29.2,0,4
2024/08/01 12:00,0,28.9,0,4
2024/08/01 13:00,0.6,30.5,0,4
2024/08/01 14:00,0.7,31.2,0,4
2024/08/01 15:00,1,30.6,0,2
2024/08/01 16:00,1,31.5,0,2
2024/08/01 17:00,1,30.9,0,2
2024/08/01 18:00,1,30.2,0,2
2024/08/02 7:00,1,24.5,0,2
2024/08/02 8:00,1,26.3,0,2
2024/08/02 9:00,1,28.6,0,2
2024/08/02 10:00,1,30.5,0,2
2024/08/02 11:00,1,31,0,2
2024/08/02 12:00,1,32,0,2
2024/08/02 13:00,1,33.6,0,2
2024/08/02 14:00,1,34,0,2
2024/08/02 15:00,1,34.5,0,2
2024/08/02 16:00,1,34.5,0,2
2024/08/02 17:00,1,33.5,0,2
2024/08/02 18:00,1,32.8,0,2
2024/08/03 7:00,1,26.4,0,2
2024/08/03 8:00,1,27.9,0,2
2024/08/03 9:00,1,30,0,2
2024/08/03 10:00,0.9,31.4,0,2
2024/08/03 11:00,1,32.6,0,2
2024/08/03 12:00,1,33.5,0,2
2024/08/03 13:00,0.9,33.2,0,2
2024/08/03 14:00,0.9,35,0,2
2024/08/03 15:00,0.9,34.5,0,2
2024/08/03 16:00,1,34.9,0,2
2024/08/03 17:00,1,33.7,0,2
2024/08/03 18:00,1,32,0,2
2024/08/04 7:00,0.5,26.7,0,2
2024/08/04 8:00,0.8,28.1,0,2
2024/08/04 9:00,0.9,29.4,0,2
2024/08/04 10:00,0.9,31.4,0,2
2024/08/04 11:00,1,33.3,0,2
2024/08/04 12:00,1,34.2,0,2
2024/08/04 13:00,1,34.9,0,2
2024/08/04 14:00,1,34.8,0,2
2024/08/04 15:00,0.9,35.7,0,2
2024/08/04 16:00,1,34.7,0,2
2024/08/04 17:00,1,33.7,0,2
2024/08/04 18:00,0.8,32.9,0,2
2024/08/05 7:00,0.1,27.4,0,4
2024/08/05 8:00,0.3,27.8,0,4
2024/08/05 9:00,0,28.8,0,4
2024/08/05 10:00,0.1,30.7,0,4
2024/08/05 11:00,0,30.4,0,4
2024/08/05 12:00,0,29.9,0,4
2024/08/05 13:00,0,30.9,0,4
2024/08/05 14:00,0.1,28.7,0,10
2024/08/05 15:00,0.7,31.3,0,4
2024/08/05 16:00,1,32.7,0,2
2024/08/05 17:00,1,32.3,0,2
2024/08/05 18:00,1,31.6,0,2
2024/08/06 7:00,0,26.1,0,4
2024/08/06 8:00,0,27.5,0,4
2024/08/06 9:00,0.7,29.7,0,2
2024/08/06 10:00,1,31.1,0,2
2024/08/06 11:00,0.3,31.7,0,4
2024/08/06 12:00,0.5,32.8,0,4
2024/08/06 13:00,0.7,33.2,0,2
2024/08/06 14:00,0.4,32.8,0,4
2024/08/06 15:00,0,32.3,0,4
2024/08/06 16:00,0,29.4,0,4
2024/08/06 17:00,0,26.1,4,10
2024/08/06 18:00,0,26.1,6,10
2024/08/07 7:00,0.2,25.9,0,4
2024/08/07 8:00,0,27,0,4
2024/08/07 9:00,0,27.5,0,4
2024/08/07 10:00,0,28.6,0,4
2024/08/07 11:00,0.1,29,0,4
2024/08/07 12:00,0.1,29.6,0,4
2024/08/07 13:00,0.2,29.9,0,4
