date,weather,temperature,precipitation,sunlight,description
date1,sunny,30,0,100,sunny and extremely hot day with full sunlight
date2,sunny,26,0,60,sunnyand hot day with full medium amount of sunlight
date3,sunny,18,0,60,sunny and bit cold day with low sunlight
date4,sunny,5,0,100,sunny and super cold day with low sunlight
date5,cloudy,26,20,20,sunny and super cold day with a bit of sunlight
date6,cloudy,20,4,0,cloudy and cold day with no sunlight
date7,cloudy,28,0,20,cloudy and hot day with a bit sunlight
date8,cloudy,4,0,0,cloudy and cold day with no sunlight
date9,rainy,28,80,0,rainy and hot day with no sunlight
date10,rainy,20,80,0,rainy and cold day with no sunlight
